"","Date","Time","Weather","latin","Species","Count","Alive.Dead","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","Observer","Any.other.comments","team","loc","month"
"2","12/03/2017","13:34","Cloudy, windy, sunny","Meles meles","Badger","1","snuffle holes","SK 69814 53015","Woodland","Broadleaved","Near road (50m), Spare/no shrub layer","GT",NA,"mdb","nott","apr"
"3","02/02/2017","12:03","cloudy/windy","Meles meles","Badger","5","digging for food","SK 69568 53071","Woodland","Mixed","Moderate shrub layer, Moderate field layer","GT, FV, DW",NA,"mdb","nott","feb"
"4","22/05/2017","12:24","Sunny","Myodes glareolus","Bank vole","1","Alive","TR 13262 59706","Human Site","Suburban","Residential, near road (50m)","Kieran Richardson",NA,"kpl","kent","may"
"5","24-Mar-17","18:37","Dusk","Vespertilionidae sp.","Bat (sp)","1","Alive","SU 7325 7195","Human Site","Suburban","Near road (50m)","Sophie","Visual sighting therefore species unknown","pft","read","mar"
"6","15-Mar-17","18:45","Dusk","Vespertilionidae sp.","Bat (sp)","2","Alive","SU 7404 7213","Human Site","Suburban","Near road (50m)","Sophie","Visual sighting therefore species unknown","pft","read","mar"
"7","09/03/2017","08:09","Clear","Vespertilionidae sp.","Bat (sp)","3","Alive","SO 78636 22997","Human site","Rural","Gardens","All","Specific species unknown, by sight only we think pipistrelle","hhe","hart","mar"
"8","24-Mar-17","19:00","Dusk","Vespertilionidae sp.","Bat (sp)","1","Alive","SU 7378 7189","Human Site","Suburban","Gardens","Sophie","Visual sighting therefore species unknown","pft","read","mar"
"9","26/05/2017","05:24","Sunny","Lepus europaeus","European hare","1","Dead","SD 49076 57018","Open land","Farmland","Active farmland, Grazed","Jack ",NA,"tbt","lanc","may"
"10","24/4/17","20:30","Cloudy","Rattus norvegicus","Brown rat","1","Alive","SU 98144 50200","Human site","Suburban","Near road, high disturbance","Dixie",NA,"tsu","surr","apr"
"11","10/03/2017","08:00","Dry","Rattus norvegicus","Brown rat","1","Dead","SS 63196 92107","Woodland","Mixed","Moderate shrub layer, Dense field layer","Hannah Cole",NA,"suc","swan","mar"
"12","07/03/2017","11:46","Sunny","Rattus norvegicus","Brown rat","1","Alive","TR 13662 59797","Woodland","Broadleaved","Dense Shrub Layer, Sparse Field Layer","Kieran Richardson",NA,"kpl","kent","mar"
"13","28/01/2017","15:03","Cloudy","Rattus norvegicus","Brown rat","1","Alive","TR 13669 59838","Woodland","Broadleaved ","Moderate Shrub Layer, Sparse field layer, near road (50m)","Kieran Richardson",NA,"kpl","kent","jan"
"14","05/07/2017","09:00","Cloudy","Rattus norvegicus","Brown rat","1","Alive","SU 98625 49792","Human site","Suburban","Near road, residential, gardens","Zoe",NA,"tsu","surr","may"
"15","06/05/2017","14:00","Windy","Rattus norvegicus","Brown rat","1","Alive","SU 98634 49798","Human Site","Suburban","Residential, gardens, near road","Zoe",NA,"tsu","surr","jun"
"16","06/03/2017","18:30","Partly Cloudy","Rattus norvegicus","Brown rat","1","Alive","SU 98634 49798","Human Site","Suburban","Residential, gardens, near road","Zoe",NA,"tsu","surr","jun"
"17","08/04/2017","1pm","sunny","Felis catus","Domestic cat","1","Alive","SU 74020 72122","Human site","urban","Garden","Charlotte",NA,"rum","rum.","apr"
